date,h-l_1,c-o_1,h-cp_1,l-cp_1,diff_ema_1,diff_volume_1,cci_1,rsi_1,macd_1,kdjk_1,kdjd_1,wr_1,trend_1,h-l_2,c-o_2,h-cp_2,l-cp_2,diff_ema_2,diff_volume_2,cci_2,rsi_2,macd_2,kdjk_2,kdjd_2,wr_2,trend_2,h-l_3,c-o_3,h-cp_3,l-cp_3,diff_ema_3,diff_volume_3,cci_3,rsi_3,macd_3,kdjk_3,kdjd_3,wr_3,trend_3,h-l_4,c-o_4,h-cp_4,l-cp_4,diff_ema_4,diff_volume_4,cci_4,rsi_4,macd_4,kdjk_4,kdjd_4,wr_4,trend_4,h-l_5,c-o_5,h-cp_5,l-cp_5,diff_ema_5,diff_volume_5,cci_5,rsi_5,macd_5,kdjk_5,kdjd_5,wr_5,trend_5,h-l_6,c-o_6,h-cp_6,l-cp_6,diff_ema_6,diff_volume_6,cci_6,rsi_6,macd_6,kdjk_6,kdjd_6,wr_6,trend_6,h-l_7,c-o_7,h-cp_7,l-cp_7,diff_ema_7,diff_volume_7,cci_7,rsi_7,macd_7,kdjk_7,kdjd_7,wr_7,trend_7,h-l_8,c-o_8,h-cp_8,l-cp_8,diff_ema_8,diff_volume_8,cci_8,rsi_8,macd_8,kdjk_8,kdjd_8,wr_8,trend_8,h-l_9,c-o_9,h-cp_9,l-cp_9,diff_ema_9,diff_volume_9,cci_9,rsi_9,macd_9,kdjk_9,kdjd_9,wr_9,trend_9,h-l_10,c-o_10,h-cp_10,l-cp_10,diff_ema_10,diff_volume_10,cci_10,rsi_10,macd_10,kdjk_10,kdjd_10,wr_10,trend_10,h-l_11,c-o_11,h-cp_11,l-cp_11,diff_ema_11,diff_volume_11,cci_11,rsi_11,macd_11,kdjk_11,kdjd_11,wr_11,trend_11,h-l_12,c-o_12,h-cp_12,l-cp_12,diff_ema_12,diff_volume_12,cci_12,rsi_12,macd_12,kdjk_12,kdjd_12,wr_12,trend_12,target
1990-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
1990-03-31,148.0,9.0,,,0.0,,,,0.0,65.99,55.33,2.03,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
1990-04-30,204.0,14.0,169.0,-35.0,33.92,,66.67,100.0,1.66,67.24,59.3,30.25,-1.0,148.0,9.0,,,0.0,,,,0.0,65.99,55.33,2.03,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
1990-05-31,93.0,8.0,95.0,2.0,57.87,,79.59,100.0,4.01,74.55,64.38,10.83,-1.0,204.0,14.0,169.0,-35.0,33.92,,66.67,100.0,1.66,67.24,59.3,30.25,-1.0,148.0,9.0,,,0.0,,,,0.0,65.99,55.33,2.03,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
1990-06-30,130.0,130.0,-5.0,-135.0,-9.67,,14.69,58.67,2.38,71.78,66.85,33.76,-1.0,93.0,8.0,95.0,2.0,57.87,,79.59,100.0,4.01,74.55,64.38,10.83,-1.0,204.0,14.0,169.0,-35.0,33.92,,66.67,100.0,1.66,67.24,59.3,30.25,-1.0,148.0,9.0,,,0.0,,,,0.0,65.99,55.33,2.03,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
1990-07-31,101.0,80.0,11.0,-90.0,-58.02,,-42.74,39.59,-1.34,62.5,65.4,56.05,-1.0,130.0,130.0,-5.0,-135.0,-9.67,,14.69,58.67,2.38,71.78,66.85,33.76,-1.0,93.0,8.0,95.0,2.0,57.87,,79.59,100.0,4.01,74.55,64.38,10.83,-1.0,204.0,14.0,169.0,-35.0,33.92,,66.67,100.0,1.66,67.24,59.3,30.25,-1.0,148.0,9.0,,,0.0,,,,0.0,65.99,55.33,2.03,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
1990-08-31,459.0,452.0,1.0,-458.0,-252.08,,-170.2,15.62,-15.32,51.29,60.7,71.14,-1.0,101.0,80.0,11.0,-90.0,-58.02,,-42.74,39.59,-1.34,62.5,65.4,56.05,-1.0,130.0,130.0,-5.0,-135.0,-9.67,,14.69,58.67,2.38,71.78,66.85,33.76,-1.0,93.0,8.0,95.0,2.0,57.87,,79.59,100.0,4.01,74.55,64.38,10.83,-1.0,204.0,14.0,169.0,-35.0,33.92,,66.67,100.0,1.66,67.24,59.3,30.25,-1.0,148.0,9.0,,,0.0,,,,0.0,65.99,55.33,2.03,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1990-09-30,215.0,196.0,-3.0,-218.0,-344.21,,-152.8,10.39,-32.66,35.54,52.31,95.96,1.0,459.0,452.0,1.0,-458.0,-252.08,,-170.2,15.62,-15.32,51.29,60.7,71.14,-1.0,101.0,80.0,11.0,-90.0,-58.02,,-42.74,39.59,-1.34,62.5,65.4,56.05,-1.0,130.0,130.0,-5.0,-135.0,-9.67,,14.69,58.67,2.38,71.78,66.85,33.76,-1.0,93.0,8.0,95.0,2.0,57.87,,79.59,100.0,4.01,74.55,64.38,10.83,-1.0,204.0,14.0,169.0,-35.0,33.92,,66.67,100.0,1.66,67.24,59.3,30.25,-1.0,148.0,9.0,,,0.0,,,,0.0,65.99,55.33,2.03,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1990-10-31,171.0,4.0,183.0,12.0,-156.85,,-94.79,31.47,-36.83,32.31,45.65,74.14,1.0,215.0,196.0,-3.0,-218.0,-344.21,,-152.8,10.39,-32.66,35.54,52.31,95.96,1.0,459.0,452.0,1.0,-458.0,-252.08,,-170.2,15.62,-15.32,51.29,60.7,71.14,-1.0,101.0,80.0,11.0,-90.0,-58.02,,-42.74,39.59,-1.34,62.5,65.4,56.05,-1.0,130.0,130.0,-5.0,-135.0,-9.67,,14.69,58.67,2.38,71.78,66.85,33.76,-1.0,93.0,8.0,95.0,2.0,57.87,,79.59,100.0,4.01,74.55,64.38,10.83,-1.0,204.0,14.0,169.0,-35.0,33.92,,66.67,100.0,1.66,67.24,59.3,30.25,-1.0,148.0,9.0,,,0.0,,,,0.0,65.99,55.33,2.03,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1990-11-30,105.0,81.0,9.0,-96.0,-157.9,,-81.69,29.21,-41.14,28.17,39.82,78.89,1.0,171.0,4.0,183.0,12.0,-156.85,,-94.79,31.47,-36.83,32.31,45.65,74.14,1.0,215.0,196.0,-3.0,-218.0,-344.21,,-152.8,10.39,-32.66,35.54,52.31,95.96,1.0,459.0,452.0,1.0,-458.0,-252.08,,-170.2,15.62,-15.32,51.29,60.7,71.14,-1.0,101.0,80.0,11.0,-90.0,-58.02,,-42.74,39.59,-1.34,62.5,65.4,56.05,-1.0,130.0,130.0,-5.0,-135.0,-9.67,,14.69,58.67,2.38,71.78,66.85,33.76,-1.0,93.0,8.0,95.0,2.0,57.87,,79.59,100.0,4.01,74.55,64.38,10.83,-1.0,204.0,14.0,169.0,-35.0,33.92,,66.67,100.0,1.66,67.24,59.3,30.25,-1.0,148.0,9.0,,,0.0,,,,0.0,65.99,55.33,2.03,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
