date,h-l_1,c-o_1,h-cp_1,l-cp_1,diff_ema_1,diff_volume_1,cci_1,rsi_1,macd_1,kdjk_1,kdjd_1,wr_1,trend_1,h-l_2,c-o_2,h-cp_2,l-cp_2,diff_ema_2,diff_volume_2,cci_2,rsi_2,macd_2,kdjk_2,kdjd_2,wr_2,trend_2,h-l_3,c-o_3,h-cp_3,l-cp_3,diff_ema_3,diff_volume_3,cci_3,rsi_3,macd_3,kdjk_3,kdjd_3,wr_3,trend_3,h-l_4,c-o_4,h-cp_4,l-cp_4,diff_ema_4,diff_volume_4,cci_4,rsi_4,macd_4,kdjk_4,kdjd_4,wr_4,trend_4,h-l_5,c-o_5,h-cp_5,l-cp_5,diff_ema_5,diff_volume_5,cci_5,rsi_5,macd_5,kdjk_5,kdjd_5,wr_5,trend_5,h-l_6,c-o_6,h-cp_6,l-cp_6,diff_ema_6,diff_volume_6,cci_6,rsi_6,macd_6,kdjk_6,kdjd_6,wr_6,trend_6,h-l_7,c-o_7,h-cp_7,l-cp_7,diff_ema_7,diff_volume_7,cci_7,rsi_7,macd_7,kdjk_7,kdjd_7,wr_7,trend_7,h-l_8,c-o_8,h-cp_8,l-cp_8,diff_ema_8,diff_volume_8,cci_8,rsi_8,macd_8,kdjk_8,kdjd_8,wr_8,trend_8,h-l_9,c-o_9,h-cp_9,l-cp_9,diff_ema_9,diff_volume_9,cci_9,rsi_9,macd_9,kdjk_9,kdjd_9,wr_9,trend_9,h-l_10,c-o_10,h-cp_10,l-cp_10,diff_ema_10,diff_volume_10,cci_10,rsi_10,macd_10,kdjk_10,kdjd_10,wr_10,trend_10,h-l_11,c-o_11,h-cp_11,l-cp_11,diff_ema_11,diff_volume_11,cci_11,rsi_11,macd_11,kdjk_11,kdjd_11,wr_11,trend_11,h-l_12,c-o_12,h-cp_12,l-cp_12,diff_ema_12,diff_volume_12,cci_12,rsi_12,macd_12,kdjk_12,kdjd_12,wr_12,trend_12,target
1990-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1990-03-04,33.0,9.0,,,0.0,,,,0.0,66.67,55.56,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1990-03-11,79.0,4.0,81.0,2.0,28.97,,66.67,100.0,1.37,71.93,61.01,17.54,1.0,33.0,9.0,,,0.0,,,,0.0,66.67,55.56,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1990-03-18,55.0,5.0,46.0,-9.0,41.75,,86.3,100.0,2.89,79.14,67.06,6.43,1.0,79.0,4.0,81.0,2.0,28.97,,66.67,100.0,1.37,71.93,61.01,17.54,1.0,33.0,9.0,,,0.0,,,,0.0,66.67,55.56,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1990-03-25,43.0,40.0,-5.0,-48.0,14.76,,53.19,77.71,2.75,78.95,71.02,21.43,1.0,55.0,5.0,46.0,-9.0,41.75,,86.3,100.0,2.89,79.14,67.06,6.43,1.0,79.0,4.0,81.0,2.0,28.97,,66.67,100.0,1.37,71.93,61.01,17.54,1.0,33.0,9.0,,,0.0,,,,0.0,66.67,55.56,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1990-04-01,44.0,17.0,38.0,-6.0,37.72,,82.72,84.58,4.02,85.29,75.78,2.03,1.0,43.0,40.0,-5.0,-48.0,14.76,,53.19,77.71,2.75,78.95,71.02,21.43,1.0,55.0,5.0,46.0,-9.0,41.75,,86.3,100.0,2.89,79.14,67.06,6.43,1.0,79.0,4.0,81.0,2.0,28.97,,66.67,100.0,1.37,71.93,61.01,17.54,1.0,33.0,9.0,,,0.0,,,,0.0,66.67,55.56,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1990-04-08,144.0,14.0,109.0,-35.0,107.09,,150.64,92.43,8.89,88.75,80.1,4.33,1.0,44.0,17.0,38.0,-6.0,37.72,,82.72,84.58,4.02,85.29,75.78,2.03,1.0,43.0,40.0,-5.0,-48.0,14.76,,53.19,77.71,2.75,78.95,71.02,21.43,1.0,55.0,5.0,46.0,-9.0,41.75,,86.3,100.0,2.89,79.14,67.06,6.43,1.0,79.0,4.0,81.0,2.0,28.97,,66.67,100.0,1.37,71.93,61.01,17.54,1.0,33.0,9.0,,,0.0,,,,0.0,66.67,55.56,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
1990-04-15,54.0,13.0,47.0,-7.0,124.96,,155.88,94.14,13.99,92.5,84.24,0.0,-1.0,144.0,14.0,109.0,-35.0,107.09,,150.64,92.43,8.89,88.75,80.1,4.33,1.0,44.0,17.0,38.0,-6.0,37.72,,82.72,84.58,4.02,85.29,75.78,2.03,1.0,43.0,40.0,-5.0,-48.0,14.76,,53.19,77.71,2.75,78.95,71.02,21.43,1.0,55.0,5.0,46.0,-9.0,41.75,,86.3,100.0,2.89,79.14,67.06,6.43,1.0,79.0,4.0,81.0,2.0,28.97,,66.67,100.0,1.37,71.93,61.01,17.54,1.0,33.0,9.0,,,0.0,,,,0.0,66.67,55.56,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
1990-04-22,69.0,50.0,24.0,-45.0,113.28,,118.11,94.52,17.76,93.73,87.4,5.19,-1.0,54.0,13.0,47.0,-7.0,124.96,,155.88,94.14,13.99,92.5,84.24,0.0,-1.0,144.0,14.0,109.0,-35.0,107.09,,150.64,92.43,8.89,88.75,80.1,4.33,1.0,44.0,17.0,38.0,-6.0,37.72,,82.72,84.58,4.02,85.29,75.78,2.03,1.0,43.0,40.0,-5.0,-48.0,14.76,,53.19,77.71,2.75,78.95,71.02,21.43,1.0,55.0,5.0,46.0,-9.0,41.75,,86.3,100.0,2.89,79.14,67.06,6.43,1.0,79.0,4.0,81.0,2.0,28.97,,66.67,100.0,1.37,71.93,61.01,17.54,1.0,33.0,9.0,,,0.0,,,,0.0,66.67,55.56,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1990-04-29,84.0,72.0,9.0,-75.0,42.22,,78.24,67.09,16.97,87.86,87.55,32.47,1.0,69.0,50.0,24.0,-45.0,113.28,,118.11,94.52,17.76,93.73,87.4,5.19,-1.0,54.0,13.0,47.0,-7.0,124.96,,155.88,94.14,13.99,92.5,84.24,0.0,-1.0,144.0,14.0,109.0,-35.0,107.09,,150.64,92.43,8.89,88.75,80.1,4.33,1.0,44.0,17.0,38.0,-6.0,37.72,,82.72,84.58,4.02,85.29,75.78,2.03,1.0,43.0,40.0,-5.0,-48.0,14.76,,53.19,77.71,2.75,78.95,71.02,21.43,1.0,55.0,5.0,46.0,-9.0,41.75,,86.3,100.0,2.89,79.14,67.06,6.43,1.0,79.0,4.0,81.0,2.0,28.97,,66.67,100.0,1.37,71.93,61.01,17.54,1.0,33.0,9.0,,,0.0,,,,0.0,66.67,55.56,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
